rank,story,url,index,pos,neg,neu,comp,source,date,hour
4,"Taylor Swift and Joe Alwyn 'SPLIT!' Pop star, 33, and longtime boyfriend, 32, call it quits after six years of dating - as she spends time away on Eras world tour 
",https://www.dailymail.co.uk/tvshowbiz/article-11953329/Taylor-Swift-longtime-boyfriend-Joe-Alwyn-SPLIT-six-years-dating.html,3,0.139,0.062,0.799,0.9998,Daily Mail,2023-04-09,8
5,"Blake Lively shows off VERY toned abs in a black cut-out swimsuit as she soaks up the sun on vacation... just two months after welcoming fourth child with husband Ryan Reynolds
",https://www.dailymail.co.uk/tvshowbiz/article-11951495/Blake-Lively-shows-toned-abs-welcoming-fourth-child-husband-Ryan-Reynolds.html,4,0.142,0.01,0.848,0.9931,Daily Mail,2023-04-09,8
6,"Netflix cancels hit show after just two seasons - days after lead star claimed she 'did not have support' during filming
",https://www.dailymail.co.uk/tvshowbiz/article-11952333/Netflix-cancels-hit-just-two-seasons-days-star-claimed-did-not-support.html,5,0.063,0.053,0.884,0.4289,Daily Mail,2023-04-09,8
7,"Mississippi woman, 19, accused of sex with German shepherd is pictured WITH the dog after she crashed her car days before her arrest: Cops say bestiality tape was recorded outside local Baptist CHURCH
",https://www.dailymail.co.uk/news/article-11951457/Mississippi-woman-accused-having-sex-German-shepherd-seen-video-THREE-separate-dogs.html,6,0.029,0.153,0.818,-0.9977,Daily Mail,2023-04-09,8
8,"Abusive Utah dad who murdered his five kids, wife and mother-in-law then killed himself left suicide note saying he'd rather 'rot in hell' than put up with 'manipulative' wife, as cops release eerie bodycam footage of bloodbath 
",https://www.dailymail.co.uk/news/article-11951541/Utah-dad-murdered-five-kids-wife-mother-law-left-warped-suicide-note.html,7,0.081,0.144,0.775,-0.9995,Daily Mail,2023-04-09,8
9,"Horrifying moment Houston High School student, 15, punches teacher in the head after demanding to get his cell phone back: Distressing behavior toward educators 'common' says teacher's union
",https://www.dailymail.co.uk/news/article-11952135/Houston-school-student-15-punches-teacher-head-demanding-cell-phone-back.html,8,0.039,0.084,0.877,-0.9944,Daily Mail,2023-04-09,8
10,"First class American Airlines passenger has a TANTRUM 'like a 5-year-old' when he can't get a drink before take-off forcing police to drag him off in handcuffs  
",https://www.dailymail.co.uk/news/article-11952393/First-class-American-Airlines-passenger-TANTRUM-like-5-year-old-hes-refused-drink.html,9,0.059,0.199,0.742,-0.9979,Daily Mail,2023-04-09,8
1,I’m 70 and so full of regret about my husband and career,https://www.theguardian.com/lifeandstyle/2023/apr/09/i-am-70-and-so-full-of-regret-about-my-husband-and-career-ask-philippa-perry,0,0.15,0.136,0.714,0.9165,Guardian,2023-04-09,8
2,‘This is where people with staggering wealth end up’: who will buy Britain’s most expensive house?,https://www.theguardian.com/money/2023/apr/08/britain-most-expensive-house-rutland-gate-mansion-london-super-rich-buyer,1,0.098,0.057,0.845,0.9997,Guardian,2023-04-09,8
3,TV tonight: Hugh Laurie’s juicy adaptation of an Agatha Christie classic,https://www.theguardian.com/tv-and-radio/2023/apr/09/tv-tonight-hugh-lauries-juicy-adaptation-of-an-agatha-christie-classic,2,0.13,0.073,0.797,0.9873,Guardian,2023-04-09,8
4,Pensioner-dependent Tories have set the UK on the road to ruin,https://www.theguardian.com/business/2023/apr/08/pensioner-dependent-tories-have-set-the-uk-on-the-road-to-ruin,3,0.056,0.053,0.891,0.4574,Guardian,2023-04-09,8
5,Student faces deportation from UK after arriving early for course at university’s request,https://www.theguardian.com/uk-news/2023/apr/08/student-to-be-deported-from-uk-after-arriving-early-for-course-at-universitys-request,4,0.105,0.065,0.829,0.9887,Guardian,2023-04-09,8
6,French and German tourists turn their back on Brexit Britain,https://www.theguardian.com/politics/2023/apr/08/french-and-german-tourists-turn-their-back-on-brexit-britain,5,0.077,0.037,0.886,0.9894,Guardian,2023-04-09,8
7,Government retreats from Brexit bill plan to ditch EU laws,https://www.theguardian.com/politics/2023/apr/09/tories-in-retreat-from-brexit-bill-to-scrap-thousands-of-eu-laws,6,0.092,0.068,0.84,0.9512,Guardian,2023-04-09,8
8,Please Please Us: Lost tape of Beatles school gig could be saved for the nation,https://www.theguardian.com/music/2023/apr/09/please-please-us-lost-tape-of-beatles-school-gig-could-be-saved-for-the-nation,7,0.084,0.021,0.895,0.9926,Guardian,2023-04-09,8
9,Yvette Cooper was ‘not told’ about Labour’s Sunak attack ad in advance,https://www.theguardian.com/politics/2023/apr/08/yvette-cooper-was-not-told-about-labours-sunak-attack-ad-in-advance,8,0.086,0.092,0.823,-0.8742,Guardian,2023-04-09,8
10,I wanted to scream at other parents: ‘You don’t know how lucky you are’ – how cancer in my 30s brought me face-to-face with death,https://www.theguardian.com/society/2023/apr/08/how-cancer-in-my-30s-brought-me-face-to-face-with-death,9,0.096,0.126,0.778,-0.9995,Guardian,2023-04-09,8
1,Eight missing as explosion destroys Marseille building,https://www.bbc.co.uk/news/world-middle-east-65225984,0,0.027,0.164,0.808,-0.9938,BBC,2023-04-09,20
2,Father mourns murdered daughters at West Bank funeral,https://www.bbc.co.uk/news/world-middle-east-65224751,1,0.088,0.153,0.758,-0.9953,BBC,2023-04-09,20
3,China simulates hitting 'key targets' on Taiwan,https://www.bbc.co.uk/news/world-65223970,2,0.073,0.064,0.863,0.6914,BBC,2023-04-09,20
4,DeSantis threatens Disney with taxes and tolls,https://www.bbc.co.uk/news/world-us-canada-65216192,3,0.106,0.054,0.84,0.9827,BBC,2023-04-09,20
5,King Charles joined by family for Easter service,https://www.bbc.co.uk/news/uk-65225124,4,0.061,0.022,0.917,0.9387,BBC,2023-04-09,20
6,Village to return Somme crucifix after 107 years,https://www.bbc.co.uk/news/uk-england-leicestershire-65201597,5,0.116,0.049,0.835,0.9937,BBC,2023-04-09,20
7,'They offered me a spot in a Wagner cemetery',https://www.bbc.co.uk/news/world-europe-65213426,6,0.022,0.211,0.767,-0.9997,BBC,2023-04-09,20
8,Mountain guides among 4 dead in French Alps avalanche,https://www.bbc.co.uk/news/world-europe-65227410,7,0.057,0.069,0.874,-0.6966,BBC,2023-04-09,20
9,Chinese scientists publish long-awaited Covid data,https://www.bbc.co.uk/news/science-environment-65204169,8,0.071,0.056,0.873,0.8798,BBC,2023-04-09,20
10,"Last surviving Nuremberg prosecutor dies, aged 103",https://www.bbc.co.uk/news/world-65223756,9,0.054,0.19,0.755,-0.9981,BBC,2023-04-09,20
1,"Taylor Swift and Joe Alwyn 'SPLIT!' Pop star, 33, and longtime boyfriend, 32, call it quits after six years of dating - as she spends time away on Eras world tour 
",https://www.dailymail.co.uk/tvshowbiz/article-11953329/Taylor-Swift-longtime-boyfriend-Joe-Alwyn-SPLIT-six-years-dating.html,0,0.139,0.062,0.799,0.9998,Daily Mail,2023-04-09,20
2,"'This is outstanding TV': New Netflix comedy series Beef bags coveted 100 per cent Rotten Tomatoes score as it's lauded by critics and fans as 'one of kind' and 'showstopping'
",https://www.dailymail.co.uk/tvshowbiz/article-11954089/New-Netflix-comedy-series-Beef-bags-perfect-Rotten-Tomatoes-score-lauded-critics-fans.html,1,0.215,0.058,0.727,0.998,Daily Mail,2023-04-09,20
3,"Police in Northern Ireland disrupt plan for a terror attack to overshadow President Joe Biden's visit this week amid fresh warnings of violence
",https://www.dailymail.co.uk/news/article-11954031/Northern-Ireland-police-disrupt-plan-terror-attack-overshadow-Bidens-visit.html,2,0.084,0.14,0.776,-0.9949,Daily Mail,2023-04-09,20
4,"Putin prepares for an invasion of Crimea: Beaches are covered with trenches and tank traps to repel an amphibious landing as Zelensky 'prepares spring offensive' 
",https://www.dailymail.co.uk/news/article-11951857/Crimeas-beaches-covered-trenches-tank-traps.html,3,0.067,0.15,0.784,-0.9974,Daily Mail,2023-04-09,20
5,"Netflix cancels hit show after just two seasons - days after lead star claimed she 'did not have support' during filming
",https://www.dailymail.co.uk/tvshowbiz/article-11952333/Netflix-cancels-hit-just-two-seasons-days-star-claimed-did-not-support.html,4,0.063,0.053,0.884,0.4289,Daily Mail,2023-04-09,20
6,"Royal family wave to crowds in Spring sunshine after first Easter Sunday service of Charles's reign: King greets wellwishers at Windsor Castle as he and other senior royals including William, Kate and their three children leave St George's Chapel
",https://www.dailymail.co.uk/news/article-11953967/Royal-family-gather-Windsor-Castle-Easter-Sunday-service-Charless-reign.html,5,0.065,0.023,0.913,0.9922,Daily Mail,2023-04-09,20
7,"Harry being stripped of his Duke of Sussex title 'has been discussed at the highest level' new bombshell book reveals - as it emerges officials joked he 'was Meghan's hostage' and the family were 'shocked by his demands and behaviour' before Queen's death
",https://www.dailymail.co.uk/news/article-11953129/Prince-Harry-stripped-Duke-Sussex-title-discussed-highest-level.html,6,0.081,0.065,0.855,0.9951,Daily Mail,2023-04-09,20
8,"First class American Airlines passenger has a TANTRUM 'like a 5-year-old' when he can't get a drink before take-off forcing police to drag him off in handcuffs  
",https://www.dailymail.co.uk/news/article-11952393/First-class-American-Airlines-passenger-TANTRUM-like-5-year-old-hes-refused-drink.html,7,0.059,0.199,0.742,-0.9979,Daily Mail,2023-04-09,20
9,"EXCLUSIVE: First anti-aging pills to hit shelves in 2028, expert predicts - as Silicone Valley races to conquer death
",https://www.dailymail.co.uk/sciencetech/article-11844303/First-anti-aging-pills-hit-shelves-2028-expert-predicts.html,8,0.08,0.023,0.897,0.9925,Daily Mail,2023-04-09,20
10,"EXCLUSIVE: End of care doctors reveal the most common things they hear from patients during their final words
",https://www.dailymail.co.uk/health/article-11937485/One-SIX-people-globally-infertile-finds-world-report.html,9,0.167,0.089,0.743,0.9988,Daily Mail,2023-04-09,20
1,Liverpool 2-2 Arsenal: Premier League – as it happened,https://www.theguardian.com/football/live/2023/apr/09/liverpool-v-arsenal-premier-league-live,0,0.178,0.062,0.76,0.9999,Guardian,2023-04-09,20
2,I’m 70 and so full of regret about my husband and career,https://www.theguardian.com/lifeandstyle/2023/apr/09/i-am-70-and-so-full-of-regret-about-my-husband-and-career-ask-philippa-perry,1,0.15,0.136,0.714,0.9165,Guardian,2023-04-09,20
3,Roberto Firmino forces Arsenal slip as Liverpool roar back in pulsating draw,https://www.theguardian.com/football/2023/apr/09/liverpool-arsenal-premier-league-match-report,2,0.134,0.082,0.784,0.9969,Guardian,2023-04-09,20
4,Ready for launch: the mission to find alien life on Jupiter’s icy moons,https://www.theguardian.com/science/2023/apr/09/ready-for-launch-the-mission-to-find-alien-life-on-jupiters-icy-moons,3,0.058,0.02,0.922,0.9797,Guardian,2023-04-09,20
5,Government retreats from Brexit bill plan to ditch EU laws,https://www.theguardian.com/politics/2023/apr/09/tories-in-retreat-from-brexit-bill-to-scrap-thousands-of-eu-laws,4,0.092,0.068,0.84,0.9512,Guardian,2023-04-09,20
6,‘All the details that were missing’: Harry Potter fans on their hopes for TV series,https://www.theguardian.com/books/2023/apr/09/harry-potter-fans-react-tv-series-hbo-max-reports-jk-rowling-gender,5,0.154,0.028,0.817,0.9989,Guardian,2023-04-09,20
7,British doctor pioneers low-carb diet as cure for obesity and type 2 diabetes,https://www.theguardian.com/society/2023/apr/09/british-doctor-pioneers-low-carb-diet-as-cure-for-obesity-and-type-2-diabetes,6,0.103,0.076,0.821,0.9939,Guardian,2023-04-09,20
8,‘Savages’: Ukrainian resort town resisting Russian attempts to repeat past glories ,https://www.theguardian.com/world/2023/apr/09/ukrainian-resort-town-ochakiv-russian-missiles,7,0.051,0.117,0.832,-0.9982,Guardian,2023-04-09,20
9,Multiple people in contact with police over further David Carrick allegations,https://www.theguardian.com/uk-news/2023/apr/09/hertfordshire-police-david-carrick-further-allegations,8,0.067,0.223,0.71,-0.9964,Guardian,2023-04-09,20
10,Judy Blume forever: the writer who dares to tell girls the plain truth,https://www.theguardian.com/books/2023/apr/09/judy-blume-forever-the-writer-who-dares-to-tell-girls-the-plain-truth,9,0.113,0.024,0.863,0.9985,Guardian,2023-04-09,20
1,What does the huge leak of Ukraine war documents tell us?,https://www.bbc.co.uk/news/world-europe-65225985,0,0.08,0.132,0.788,-0.9953,BBC,2023-04-10,8
2,China rehearses 'sealing off' Taiwan in latest drills,https://www.bbc.co.uk/news/world-asia-65229003,1,0.042,0.041,0.917,-0.4404,BBC,2023-04-10,8
3,Indian bride on the run after firing gun at wedding,https://www.bbc.co.uk/news/world-asia-india-65200446,2,0.021,0.14,0.839,-0.9719,BBC,2023-04-10,8
4,BBC objects to 'government funded' Twitter label,https://www.bbc.co.uk/news/entertainment-arts-65226481,3,0.054,0.035,0.91,0.9117,BBC,2023-04-10,8
5,The EU politician fighting his own extradition,https://www.bbc.co.uk/news/world-europe-65148600,4,0.062,0.133,0.805,-0.9975,BBC,2023-04-10,8
6,Prominent Chinese legal activists jailed,https://www.bbc.co.uk/news/world-asia-china-65229269,5,0.043,0.123,0.833,-0.9853,BBC,2023-04-10,8
7,Coronation carriage will be a more comfortable ride,https://www.bbc.co.uk/news/uk-65194594,6,0.054,0.027,0.918,0.9678,BBC,2023-04-10,8
8,Father mourns murdered daughters at West Bank funeral,https://www.bbc.co.uk/news/world-middle-east-65224751,7,0.088,0.153,0.758,-0.9953,BBC,2023-04-10,8
9,Guides among five dead in French Alps avalanche,https://www.bbc.co.uk/news/world-europe-65227410,8,0.054,0.066,0.88,-0.6608,BBC,2023-04-10,8
10,Thousands join mass Georgian anti-government rally,https://www.bbc.co.uk/news/world-europe-65228755,9,0.094,0.123,0.783,-0.9194,BBC,2023-04-10,8
1,"Police in Northern Ireland disrupt plan for a terror attack to overshadow President Joe Biden's visit this week amid fresh warnings of violence
",https://www.dailymail.co.uk/news/article-11954031/Northern-Ireland-police-disrupt-plan-terror-attack-overshadow-Bidens-visit.html,0,0.084,0.14,0.776,-0.9949,Daily Mail,2023-04-10,8
2,"'This is outstanding TV': New Netflix comedy series Beef bags coveted 100 per cent Rotten Tomatoes score as it's lauded by critics and fans as 'one of kind' and 'showstopping'
",https://www.dailymail.co.uk/tvshowbiz/article-11954089/New-Netflix-comedy-series-Beef-bags-perfect-Rotten-Tomatoes-score-lauded-critics-fans.html,1,0.215,0.058,0.727,0.998,Daily Mail,2023-04-10,8
3,"EXCLUSIVE: End of care doctors reveal the most common things they hear from patients during their final words
",https://www.dailymail.co.uk/health/article-11937485/One-SIX-people-globally-infertile-finds-world-report.html,2,0.167,0.089,0.743,0.9988,Daily Mail,2023-04-10,8
4,"Are YOU a genius? Only 2% of people with 'extraordinary intelligence' can spot the animal in this baffling puzzle
",https://www.dailymail.co.uk/femail/article-11947697/Can-spot-hidden-deer-brain-teaser.html,3,0.062,0.046,0.892,0.5574,Daily Mail,2023-04-10,8
5,"Royal family wave to crowds in Spring sunshine after first Easter Sunday service of Charles's reign: King greets wellwishers at Windsor Castle as he and other senior royals including William, Kate and their three children leave St George's Chapel
",https://www.dailymail.co.uk/news/article-11953967/Royal-family-gather-Windsor-Castle-Easter-Sunday-service-Charless-reign.html,4,0.065,0.023,0.913,0.9922,Daily Mail,2023-04-10,8
6,"Bud Light loses its fizz: Beer giant has not posted on social media for more than a WEEK amid Dylan Mulvaney partnership that sparked furious backlash
",https://www.dailymail.co.uk/news/article-11954285/Bud-Light-not-posted-social-media-WEEK-amid-Dylan-Mulvaney-partnership.html,5,0.107,0.062,0.831,0.9985,Daily Mail,2023-04-10,8
7,"Cheeky Prince! Louis, four, holds back a grin as he joins the Prince and Princess of Wales, Prince George, and Princess Charlotte for his first Easter Sunday service in Windsor
",https://www.dailymail.co.uk/femail/article-11949673/Prince-Princess-Wales-joined-Prince-George-Princess-Charlotte-Windsor.html,6,0.07,0.018,0.912,0.9893,Daily Mail,2023-04-10,8
8,"Jorge Masvidal RETIRES from UFC after unanimous defeat in Miami to Gilbert Burns and tells the crowd: 'I'm a multi-millionaire... I had nothing when I started' before paying tribute to Donald Trump in the crowd
",https://www.dailymail.co.uk/sport/mma/article-11953759/Jorge-Masvidal-RETIRES-UFC-defeat-Miami-Gilbert-Burns.html,7,0.122,0.09,0.787,0.9145,Daily Mail,2023-04-10,8
9,"Putin prepares for an invasion of Crimea: Beaches are covered with trenches and tank traps to repel an amphibious landing as Zelensky 'prepares spring offensive' 
",https://www.dailymail.co.uk/news/article-11951857/Crimeas-beaches-covered-trenches-tank-traps.html,8,0.067,0.15,0.784,-0.9974,Daily Mail,2023-04-10,8
10,"Melania is seen for the first time in TEN DAYS as she attends Easter brunch with husband Donald at Mar-a-Lago - after disappearing from public view in the wake of his indictment for Stormy Daniels 'hush money'
",https://www.dailymail.co.uk/news/article-11954873/Melania-seen-time-TEN-DAYS-attends-Easter-Brunch-Trump.html,9,0.074,0.067,0.86,0.8708,Daily Mail,2023-04-10,8
1,Why Didn’t They Ask Evans? review – a classic whodunnit with delight in every scene,https://www.theguardian.com/tv-and-radio/2023/apr/09/why-didnt-they-ask-evans-review-agatha-christie-hugh-lauriea-classic-whodunnit-with-delight-in-every-scene,0,0.144,0.087,0.768,0.995,Guardian,2023-04-10,8
2,‘It’s called stealing’: new allegations of plagiarism against Roy Lichtenstein,https://www.theguardian.com/artanddesign/2023/apr/09/new-allegations-of-plagiarism-against-roy-lichtenstein,1,0.062,0.113,0.824,-0.9949,Guardian,2023-04-10,8
3,Four new wild swimming sites in England open for summer season,https://www.theguardian.com/lifeandstyle/2023/apr/10/four-new-wild-swimming-sites-in-england-open-for-summer-season,2,0.102,0.025,0.873,0.9866,Guardian,2023-04-10,8
4,‘Stand by every word’: Keir Starmer defends attack ad on Rishi Sunak,https://www.theguardian.com/politics/2023/apr/09/keri-starmer-defends-insensitive-labour-advert-on-child-sexual-assaults,3,0.044,0.13,0.826,-0.9939,Guardian,2023-04-10,8
5,"Ruthie Henshall: ‘While MPs were drinking and snogging, I was waving at Mum through a care home window’",https://www.theguardian.com/stage/2023/apr/10/ruthie-henshall-while-mps-were-drinking-and-snogging-i-was-waving-at-mum-through-a-care-home-window,4,0.126,0.09,0.784,0.9986,Guardian,2023-04-10,8
6,Trump ‘dug himself a hole’ on classified documents and role in January 6 – Barr,https://www.theguardian.com/us-news/2023/apr/10/trump-william-barr-classified-documents-january-6,5,0.073,0.098,0.829,-0.9068,Guardian,2023-04-10,8
7,Russia-Ukraine war live: Pentagon assesses impact of apparent intelligence leak; Zelenskiy condemns Palm Sunday shelling ,https://www.theguardian.com/world/live/2023/apr/10/russia-ukraine-war-live-pentagon-assesses-impact-of-apparent-intelligence-leak-zelenskiy-condemns-palm-sunday-shelling,6,0.092,0.126,0.782,-0.9993,Guardian,2023-04-10,8
8,Musk admits BBC ‘among least biased’ in row over Twitter ‘government-funded media’ tag,https://www.theguardian.com/media/2023/apr/09/bbc-protests-after-twitter-labels-it-government-funded-media,7,0.026,0.027,0.947,0.1254,Guardian,2023-04-10,8
9,Procession route for King Charles III coronation to be far shorter than in 1953,https://www.theguardian.com/uk-news/2023/apr/09/king-charles-iii-coronation-procession-route,8,0.035,0.017,0.948,0.8381,Guardian,2023-04-10,8
10,I’m 70 and so full of regret about my husband and career,https://www.theguardian.com/lifeandstyle/2023/apr/09/i-am-70-and-so-full-of-regret-about-my-husband-and-career-ask-philippa-perry,9,0.15,0.136,0.714,0.9165,Guardian,2023-04-10,8
1,Rookie officer struck in head in Kentucky shooting,https://www.bbc.co.uk/news/world-us-canada-65233350,0,0.06,0.16,0.78,-0.9922,BBC,2023-04-10,20
2,Leaked documents a risk to US security - Pentagon,https://www.bbc.co.uk/news/world-us-canada-65235121,1,0.095,0.074,0.831,0.7474,BBC,2023-04-10,20
3,Dalai Lama regrets asking boy to 'suck my tongue',https://www.bbc.co.uk/news/world-asia-india-65229327,2,0.121,0.047,0.832,0.9823,BBC,2023-04-10,20
4,"US woman, 78, charged with third bank robbery",https://www.bbc.co.uk/news/world-us-canada-65232308,3,0.035,0.053,0.912,-0.479,BBC,2023-04-10,20
5,What does the huge leak of Ukraine war documents tell us?,https://www.bbc.co.uk/news/world-europe-65225985,4,0.08,0.127,0.793,-0.9945,BBC,2023-04-10,20
6,China aircraft carrier 'seals off' Taiwan in drill,https://www.bbc.co.uk/news/world-asia-65229003,5,0.045,0.065,0.89,-0.9567,BBC,2023-04-10,20
7,French dancer who helped Nureyev defection dies,https://www.bbc.co.uk/news/world-europe-65234449,6,0.081,0.069,0.85,0.8924,BBC,2023-04-10,20
8,UK-Israeli mother wounded in West Bank attack dies,https://www.bbc.co.uk/news/world-middle-east-65227638,7,0.049,0.18,0.772,-0.9969,BBC,2023-04-10,20
9,Super Mario Movie breaks box office records,https://www.bbc.co.uk/news/entertainment-arts-65230431,8,0.063,0.092,0.845,-0.9068,BBC,2023-04-10,20
10,Abba in tribute to 'superb' long-serving guitarist,https://www.bbc.co.uk/news/entertainment-arts-65232127,9,0.154,0.025,0.821,0.9959,BBC,2023-04-10,20
1,"Louisville cop is fighting for his life after gun battle with disgruntled bank employee who gunned down four colleagues as governor reveals two of his friends were killed: 'I know everyone there - that's my bank'
",https://www.dailymail.co.uk/news/article-11956823/Mass-casualty-incident-Louisville-bank-active-shooter-opens-fire.html,0,0.034,0.081,0.885,-0.9935,Daily Mail,2023-04-10,20
2,"EXCLUSIVE: End of care doctors reveal the most common things they hear from patients during their final words
",https://www.dailymail.co.uk/health/article-11937485/One-SIX-people-globally-infertile-finds-world-report.html,1,0.167,0.089,0.743,0.9988,Daily Mail,2023-04-10,20
3,"Bud Light's VP says she wanted to update the 'fratty' and 'out of touch' branding with 'inclusivity' days before Dylan Mulvaney's controversial partnership with beer was unveiled
",https://www.dailymail.co.uk/news/article-11956593/Bud-Light-marketing-VP-said-wanted-update-fratty-branding-days-Dylan-Mulvaney-ad.html,2,0.09,0.035,0.875,0.9909,Daily Mail,2023-04-10,20
4,"Police in Northern Ireland disrupt plan for a terror attack to overshadow President Joe Biden's visit this week amid fresh warnings of violence
",https://www.dailymail.co.uk/news/article-11954031/Northern-Ireland-police-disrupt-plan-terror-attack-overshadow-Bidens-visit.html,3,0.084,0.14,0.776,-0.9949,Daily Mail,2023-04-10,20
5,"'This is outstanding TV': New Netflix comedy series Beef bags coveted 100 per cent Rotten Tomatoes score as it's lauded by critics and fans as 'one of kind' and 'showstopping'
",https://www.dailymail.co.uk/tvshowbiz/article-11954089/New-Netflix-comedy-series-Beef-bags-perfect-Rotten-Tomatoes-score-lauded-critics-fans.html,4,0.215,0.058,0.727,0.998,Daily Mail,2023-04-10,20
6,"Dalai Lama, 87, apologises after kissing young boy on the lips and asking the child to 'suck' his tongue in bizarre interaction captured on video at charity event in India
",https://www.dailymail.co.uk/news/article-11956189/Dalai-Lama-87-apologises-kissing-young-boy-lips-asking-child-suck-tongue.html,5,0.129,0.08,0.792,0.9819,Daily Mail,2023-04-10,20
7,"The three reasons women are cheating and paying for sex more than ever, SAMANTHA X reveals... and the one bedroom act they're definitely not interested in
",https://www.dailymail.co.uk/femail/article-11944461/Samantha-X-three-reasons-women-cheating-paying-sex-ever.html,6,0.149,0.087,0.764,0.9916,Daily Mail,2023-04-10,20
8,"Is this the real reason Taylor Swift and Joe Alwyn split? Fans believe lyrics of song 'Champagne Problems' that the couple wrote together hint at cause of break-up... after singer appeared to cry while singing hit
",https://www.dailymail.co.uk/tvshowbiz/article-11956167/Is-real-reason-Taylor-Swift-Joe-Alwyn-split.html,7,0.133,0.081,0.786,0.9998,Daily Mail,2023-04-10,20
9,"Baby joy! Hilary Swank, 48, reveals she has given birth to twins - a boy and a girl - as she shares adorable Instagram snap: 'Posting from pure Heaven'
",https://www.dailymail.co.uk/tvshowbiz/article-11955807/Hilary-Swank-48-revels-gave-birth-twins-shares-adorable-Instagram-snap.html,8,0.168,0.012,0.82,0.9988,Daily Mail,2023-04-10,20
10,"The Kardashian-Jenner clan celebrate 'the sweetest Easter weekend'  at Kris Jenner's $12M Palm Springs home... as LA Lakers sign Tristan Thompson
",https://www.dailymail.co.uk/tvshowbiz/article-11955227/The-Kardashian-Jenner-clan-celebrate-Easter-Kris-Jenners-12M-Palm-Springs-home.html,9,0.124,0.012,0.863,0.9944,Daily Mail,2023-04-10,20
1,German punk band ‘humiliated’ after being refused UK entry due to post-Brexit rules,https://www.theguardian.com/politics/2023/apr/10/german-punk-band-humiliated-after-being-refused-uk-entry-due-to-post-brexit-rules,0,0.096,0.096,0.808,0.5532,Guardian,2023-04-10,20
2,‘We’ve had to stop people fighting and urinating in their seats’: the ugly new side of theatre audiences,https://www.theguardian.com/stage/2023/apr/10/bodyguard-police-fighting-urinating-seats-ugly-new-side-of-theatre-audiences,1,0.149,0.089,0.763,0.9985,Guardian,2023-04-10,20
3,Dalai Lama apologises after kissing boy and asking him to ‘suck my tongue’,https://www.theguardian.com/world/2023/apr/10/dalai-lama-apologises-kissing-boy-suck-his-tongue-video,2,0.118,0.056,0.826,0.9674,Guardian,2023-04-10,20
4,‘Unreliable splatter’: Vatican exorcists denounce Russell Crowe’s Pope’s Exorcist ,https://www.theguardian.com/film/2023/apr/10/exorcists-denounce-the-popes-exorcist-with-russell-crowe,3,0.072,0.083,0.846,-0.8835,Guardian,2023-04-10,20
5,‘They’re starting to die’: fears Ukraine’s drone supremacy may soon be over,https://www.theguardian.com/world/2023/apr/10/in-war-there-are-no-emotions-ukraine-drone-squads-bakhmut,4,0.062,0.125,0.813,-0.9982,Guardian,2023-04-10,20
6,‘I put them in bed together just to get it over with’ – how we made Jonathan Creek,https://www.theguardian.com/culture/2023/apr/10/jonathan-creek-alan-davies-caroline-quentin-alan-yentob,5,0.129,0.051,0.82,0.998,Guardian,2023-04-10,20
7,Essex police deny Braverman rebuked them over pub seizure of golliwog dolls,https://www.theguardian.com/uk-news/2023/apr/10/essex-police-deny-braverman-rebuked-them-over-pub-seizure-of-golliwog-dolls,6,0.048,0.163,0.789,-0.9951,Guardian,2023-04-10,20
8,Father of woman killed by husband in Greece to look after granddaughter ‘far away’,https://www.theguardian.com/world/2023/apr/10/father-of-woman-killed-by-husband-in-greece-to-take-granddaughter-far-away,7,0.069,0.127,0.804,-0.9952,Guardian,2023-04-10,20
9,Mother of British-Israeli sisters killed in West Bank shooting dies,https://www.theguardian.com/world/2023/apr/10/mother-of-british-israeli-sisters-killed-in-west-bank-shooting-dies-lucy-dee,8,0.067,0.184,0.749,-0.9977,Guardian,2023-04-10,20
10,"Swimming pools of the rich driving city water crises, study says",https://www.theguardian.com/environment/2023/apr/10/swimming-pools-rich-driving-city-water-crises,9,0.108,0.112,0.78,-0.103,Guardian,2023-04-10,20
1,Kentucky bank employee shoots dead five colleagues,https://www.bbc.co.uk/news/world-us-canada-65233350,0,0.013,0.156,0.831,-0.9977,BBC,2023-04-11,8
2,'I looked at my foot and saw I was missing toes',https://www.bbc.co.uk/news/world-europe-65204053,1,0.05,0.111,0.839,-0.9942,BBC,2023-04-11,8
3,Interest rates 'likely' to fall to pre-Covid levels,https://www.bbc.co.uk/news/business-65237286,2,0.06,0.036,0.904,0.8074,BBC,2023-04-11,8
4,US leak shows S Korea torn on sending Ukraine weapons,https://www.bbc.co.uk/news/world-asia-65236991,3,0.076,0.138,0.786,-0.9947,BBC,2023-04-11,8
5,Mother of 6-year-old who shot teacher is charged,https://www.bbc.co.uk/news/world-us-canada-65202976,4,0.097,0.148,0.755,-0.965,BBC,2023-04-11,8
6,Texas seeks pardon for soldier who killed protester,https://www.bbc.co.uk/news/world-us-canada-65235905,5,0.067,0.186,0.747,-0.996,BBC,2023-04-11,8
7,'Hours went by and we barely saw any investors',https://www.bbc.co.uk/news/world-asia-india-65200441,6,0.047,0.088,0.865,-0.9957,BBC,2023-04-11,8
8,US and Philippines begin biggest joint military drills,https://www.bbc.co.uk/news/world-asia-65236459,7,0.061,0.079,0.861,-0.9724,BBC,2023-04-11,8
9,Why Ireland is so important to Joe Biden,https://www.bbc.co.uk/news/world-us-canada-65197578,8,0.214,0.034,0.752,0.9994,BBC,2023-04-11,8
